id,image_link,group_id,entity_name,entity_value,numeric_value,unit
7195,https://m.media-amazon.com/images/I/61EfeeDuW2L.jpg,866516,height,1.18 inch,1.18,inch
9111,https://m.media-amazon.com/images/I/51ha83oAyyL.jpg,997176,height,6.5 inch,6.5,inch
11382,https://m.media-amazon.com/images/I/51nLJuNpbaL.jpg,120219,height,9.2 inch,9.2,inch
12152,https://m.media-amazon.com/images/I/619CywH4-NL.jpg,860821,height,34.5 inch,34.5,inch
23925,https://m.media-amazon.com/images/I/617N1N9OTuL.jpg,681445,height,11.82 inch,11.82,inch
25225,https://m.media-amazon.com/images/I/61F-k8ncI8L.jpg,751532,height,17.7 inch,17.7,inch
27938,https://m.media-amazon.com/images/I/612ihJPcgAL.jpg,550840,height,8.0 inch,8.0,inch
31289,https://m.media-amazon.com/images/I/614QRFDwr9L.jpg,442321,height,27.9 inch,27.9,inch
32165,https://m.media-amazon.com/images/I/51RdadsIZXL.jpg,226504,height,5.1 inch,5.1,inch
34101,https://m.media-amazon.com/images/I/61FpO4QRorL.jpg,462757,height,42.0 inch,42.0,inch
34869,https://m.media-amazon.com/images/I/51Y5MXRKbtL.jpg,866516,height,3.8 inch,3.8,inch
37362,https://m.media-amazon.com/images/I/61CDPQyFQhS.jpg,844474,height,12.7 inch,12.7,inch
57604,https://m.media-amazon.com/images/I/61Adsln+8ML.jpg,483370,height,9.84 inch,9.84,inch
58583,https://m.media-amazon.com/images/I/611GvGRVUXL.jpg,483370,height,9.8 inch,9.8,inch
60588,https://m.media-amazon.com/images/I/61-9q51TU5L.jpg,998545,height,10.0 inch,10.0,inch
61583,https://m.media-amazon.com/images/I/61+JAzwXC6L.jpg,916768,height,7.3 inch,7.3,inch
61920,https://m.media-amazon.com/images/I/61ETMIERwCL.jpg,893692,height,13.0 inch,13.0,inch
62790,https://m.media-amazon.com/images/I/619J18-4vIL.jpg,866516,height,8.5 inch,8.5,inch
64116,https://m.media-amazon.com/images/I/61003HGu-bS.jpg,347404,height,3.35 inch,3.35,inch
64763,https://m.media-amazon.com/images/I/61BZiciFS2L.jpg,648011,height,3.67 inch,3.67,inch
65224,https://m.media-amazon.com/images/I/515yEK+4-8L.jpg,658003,height,10.0 inch,10.0,inch
70099,https://m.media-amazon.com/images/I/618hexM7FBL.jpg,844474,height,17.2 inch,17.2,inch
92131,https://m.media-amazon.com/images/I/51oA5fagKuS.jpg,752266,height,7.09 inch,7.09,inch
94556,https://m.media-amazon.com/images/I/61B+x07kDtL.jpg,483370,height,10.0 inch,10.0,inch
96430,https://m.media-amazon.com/images/I/61G4BCMP45L.jpg,752266,height,11.0 inch,11.0,inch
96663,https://m.media-amazon.com/images/I/613ZMrHfekL.jpg,648011,height,5.3 inch,5.3,inch
112682,https://m.media-amazon.com/images/I/61+-f5o0PXL.jpg,483370,height,11.8 inch,11.8,inch
114213,https://m.media-amazon.com/images/I/611k31b8QdL.jpg,844474,height,12.2 inch,12.2,inch
117144,https://m.media-amazon.com/images/I/51KbCXIV-wL.jpg,752266,height,3.3 foot,3.3,foot
118605,https://m.media-amazon.com/images/I/51Tx+4USfWL.jpg,752266,height,11.6 inch,11.6,inch
119442,https://m.media-amazon.com/images/I/61FjLCgCLVS.jpg,648011,height,5.5 inch,5.5,inch
120854,https://m.media-amazon.com/images/I/61BXXPZFbkL.jpg,416664,height,11.81 inch,11.81,inch
130676,https://m.media-amazon.com/images/I/611Z4vQEl+L.jpg,245959,height,11.0 inch,11.0,inch
131485,https://m.media-amazon.com/images/I/51VJ4PEnB6L.jpg,418233,height,5.11 inch,5.11,inch
131508,https://m.media-amazon.com/images/I/61F0VpxW3JL.jpg,365756,height,5.11 inch,5.11,inch
131585,https://m.media-amazon.com/images/I/41JwThf1hwL.jpg,521308,height,34.0 inch,34.0,inch
131587,https://m.media-amazon.com/images/I/615YBDTuz6L.jpg,752266,height,4.7 inch,4.7,inch
131677,https://m.media-amazon.com/images/I/51Q0fNIrLkL.jpg,931856,height,5.0 inch,5.0,inch
131692,https://m.media-amazon.com/images/I/614Pjcq7wFL.jpg,752266,height,19.1 inch,19.1,inch
131729,https://m.media-amazon.com/images/I/41g0yaxXZnL.jpg,311997,height,68.9 inch,68.9,inch
131734,https://m.media-amazon.com/images/I/614hk01cB8L.jpg,478357,height,27.5 inch,27.5,inch
131751,https://m.media-amazon.com/images/I/412ZHznOJqL.jpg,931856,height,2.75 inch,2.75,inch
131810,https://m.media-amazon.com/images/I/61-asF4ySbL.jpg,442321,height,28.3 inch,28.3,inch
131861,https://m.media-amazon.com/images/I/612+j-owNDS.jpg,521308,height,23.6 inch,23.6,inch
131895,https://m.media-amazon.com/images/I/51v+YPlqJ6L.jpg,752266,height,2.3 inch,2.3,inch
131951,https://m.media-amazon.com/images/I/61ByoYNa9cL.jpg,801829,height,28.0 inch,28.0,inch
131969,https://m.media-amazon.com/images/I/51wT9SVgCmL.jpg,640408,height,8.0 inch,8.0,inch
132012,https://m.media-amazon.com/images/I/61BeNDm0vVL.jpg,276611,height,31.5 inch,31.5,inch
132014,https://m.media-amazon.com/images/I/612VPtF0BWL.jpg,963595,height,3.9 inch,3.9,inch
132073,https://m.media-amazon.com/images/I/31bkLp9i6jL.jpg,393665,height,10.0 inch,10.0,inch
132080,https://m.media-amazon.com/images/I/51nkgaabPJL.jpg,826444,height,3.34 inch,3.34,inch
132082,https://m.media-amazon.com/images/I/51k3I3VgfwL.jpg,648011,height,4.02 inch,4.02,inch
132092,https://m.media-amazon.com/images/I/61GAV3B8xtL.jpg,594224,height,7.0 inch,7.0,inch
132097,https://m.media-amazon.com/images/I/513fq-4xaiL.jpg,192915,height,4.91 inch,4.91,inch
132237,https://m.media-amazon.com/images/I/519Cf4JFuiL.jpg,652661,height,17.0 inch,17.0,inch
132280,https://m.media-amazon.com/images/I/513i2QfyQ3L.jpg,478357,height,22.5 inch,22.5,inch
132299,https://m.media-amazon.com/images/I/617hF+e9uRL.jpg,120219,height,5.0 inch,5.0,inch
132321,https://m.media-amazon.com/images/I/51C9x+Zf5lL.jpg,529606,height,5.5 inch,5.5,inch
132485,https://m.media-amazon.com/images/I/617Z6Eg2exL.jpg,913398,height,4.3 inch,4.3,inch
132498,https://m.media-amazon.com/images/I/51QylpoA6lL.jpg,895147,height,8.5 inch,8.5,inch
132585,https://m.media-amazon.com/images/I/51vd2QlFu-L.jpg,276611,height,31.5 inch,31.5,inch
132588,https://m.media-amazon.com/images/I/41CCo5cLzZL.jpg,276611,height,39.4 inch,39.4,inch
132612,https://m.media-amazon.com/images/I/51kxPxgyt-L.jpg,866516,height,13.0 inch,13.0,inch
