,id,image_link,group_id,entity_name,entity_value,numeric_value,unit,ocr_text
0,536,https://m.media-amazon.com/images/I/610bLFQIS3L.jpg,442321,height,95.0 centimetre,95.0,centimetre,"I5kg 6"" MAS 95cm/37.4"" MIN6Icm/24"" 40cm/15.7"" 60cm/23.€ 57cm/22.4"" 5.7"" 40cm/1"
2,2306,https://m.media-amazon.com/images/I/61+g4VX7wwL.jpg,237000,height,71.0 centimetre,71.0,centimetre,"7 78.7"" 78.7"" (200cm) (2OOcm) Product information COLOR: WEIGHT: Black + SIZE:(L*W*H) PACKAGE LIST: 200*200*71cm 1* Garden Furniture Cover 78.7 x 78.7 x 28inch 1* Storage 1.5kg Bag"
4,2667,https://m.media-amazon.com/images/I/51K5y5KflQL.jpg,752266,height,308.0 millimetre,308.0,millimetre,Polysilicon solar panels 2V 0.2W 1 Ni-MH battery 1.2V 30OmAh ONIOFF 6Omm
6,3351,https://m.media-amazon.com/images/I/61Drr5Mq3nL.jpg,603688,height,20.0 centimetre,20.0,centimetre,2Ocm 2 1Ocm 42cm TYPE: BALANCE CAR SNOWBOARD MATERIAL: PP COLOR: REDIBLACK /WHITE PACKING SIZE: 42*20*10/16.54*7.87*3.94INCH NET WEIGHT: 780.06/27.510Z
8,7195,https://m.media-amazon.com/images/I/61EfeeDuW2L.jpg,866516,height,1.18 inch,1.18,inch,"Product Details 1 Green Aventurine 0.94"" Net Weight:21g"
10,8484,https://m.media-amazon.com/images/I/51L9WyyudUL.jpg,679049,height,2.7 metre,2.7,metre,"1,5 m 2,7 m 36 kg"
12,10342,https://m.media-amazon.com/images/I/51Wvt8BFz7L.jpg,625310,height,5.7 centimetre,5.7,centimetre,"19,00 cm 5,70 cm 9,30 cm Total weight: 0,62 kg"
14,11382,https://m.media-amazon.com/images/I/51nLJuNpbaL.jpg,120219,height,9.2 inch,9.2,inch,3.9 inch 10 cm Weight: 0.85 lb / 385 g 9.2 inch 23.5 cm ) 7.2 inch 18.5 cm ) 4.9 inch 12.5 cm
16,12558,https://m.media-amazon.com/images/I/615FtGxHiJL.jpg,267182,height,26.5 centimetre,26.5,centimetre,1 Dc COld 32cm/12.6in Hot 18cm/7_ Sin
18,14660,https://m.media-amazon.com/images/I/51yu88XYVfL.jpg,226504,height,55.0 centimetre,55.0,centimetre,1214= OZONE 55 cm VOLUME 55 Ltr: ~ WEIGHT 35 cm 24.70 5 Kg_
20,18917,https://m.media-amazon.com/images/I/614ePaJOAxL.jpg,245959,height,33.0 centimetre,33.0,centimetre,Airline Friendly Fits in most airline under seats and the overhead bins. Weight: 2.2lbs Free Toiletry Bag Weight: 0.2lbs 1 3 22.8cm 12.4cm '28.5cm S1cm 44cm Padded Shoulder 7Icm~137cm 32cm Strap
22,20764,https://m.media-amazon.com/images/I/51yWqeEiBVL.jpg,311997,height,140.0 centimetre,140.0,centimetre,10KG 0 10KG 0 10KG { 0 10KG 0 1OKG 8 33 cm 33 cm
24,23925,https://m.media-amazon.com/images/I/617N1N9OTuL.jpg,681445,height,11.82 inch,11.82,inch,"RESIN GOLD TALL VASE FOR DECOR This floor-standing vase is solid, weighty, and textured; with a delicate surface; waterproof;, and luxurious: 6.69 IN 35.50 IN 11.82 IN Weighs: 10.8 Ibs"
26,25225,https://m.media-amazon.com/images/I/61F-k8ncI8L.jpg,751532,height,17.7 inch,17.7,inch,"QUEEN SIZE WEIGHIT CAPACITY:9OOLBS 17.7 15.0"" 10.0 6.0"" LX W X HI : 80.1"" X 61.6"" X 1C.O"" 61.6' 77////7 9OOLBS 80.1' 61.6"
28,27938,https://m.media-amazon.com/images/I/612ihJPcgAL.jpg,550840,height,8.0 inch,8.0,inch,MESSAGE NOTIFICATION 771 ~iBujop nok aie MOY Kued e p1oy 01 8ujo? ( Jwe| ~OC60 3xnt 3IVSSJW
30,31289,https://m.media-amazon.com/images/I/614QRFDwr9L.jpg,442321,height,27.9 inch,27.9,inch,Change Your Sedentary Life-Style For the perfect ergonomic position: 23. 39.37in IOOcm 27.9-46.4in 71-118cm KG Weight Capacity Ultra Quiet Height Range Lift Speed 176lbs/80kg <SOdB 27.9-46.4in/71-118cm 7 in/s 25mm/s 6Ocm bin
32,31884,https://m.media-amazon.com/images/I/51F2nyIvMjL.jpg,267182,height,85.0 centimetre,85.0,centimetre,"Color: Gray Dimension: 48 * 50 * 85cm (LxW XH) Capacity: 90L Cooler Capacity: 64L, Freezer Capacity: 26L Rated Voltage: 220-240V/S0Hz Cooling Temperature Setting Range: 85cm 0-10""C Lowest Freezing Temperature: F150 C Noise: <43dB Product Weight: 22kg 50cm 48cm"
34,32918,https://m.media-amazon.com/images/I/51U+wpRpR+L.jpg,483370,height,35.0 centimetre,35.0,centimetre,"Tyrannosaurus Rex Product Size: 35X20X1Ocm Product Weight: 280gms 14""/35cm 4""/1Ocm 8""/20cm"
36,33945,https://m.media-amazon.com/images/I/51aacnzp7ZL.jpg,483370,height,78.0 centimetre,78.0,centimetre,Realistic Weighted: 4 Ibs 78 cm 31 inch particles plastic contains
38,34863,https://m.media-amazon.com/images/I/519e4TQepbL.jpg,483370,height,15.0 centimetre,15.0,centimetre,PRODUCT SIZE Mouth can be clenched 15CM Weight: 168g 18CM
40,37362,https://m.media-amazon.com/images/I/61CDPQyFQhS.jpg,844474,height,12.7 inch,12.7,inch,Weight:O.66lbs 1 4.linches 9inches
42,39838,https://m.media-amazon.com/images/I/61+iHDTqf7L.jpg,752266,height,27.5 centimetre,27.5,centimetre,4.7in(12cm) I 6 8 1 1 2.52in(6.4cm) Free bulbs Included 1 5 5.3in(13.5cm) Specifications Color Matte black Bulb Wattage 6W(GOW equivalent ) Material Aluminum & Clear Glass Bulb Support AII E26 Base bulbs Power Corded-Electric Color Temperature 2700K Warm White Voltage 110V-120V Wattage Support 6OW MAX 7in(14. 5cm)
44,42730,https://m.media-amazon.com/images/I/51PdtAf8vgL.jpg,416664,height,166.5 centimetre,166.5,centimetre,38.5 cm 166.5 cm 22.5 cm bulb not incl: 5.6.kg cable length: Zm 11.8 . cm
46,47931,https://m.media-amazon.com/images/I/61CNr12GEyL.jpg,529606,height,6.0 centimetre,6.0,centimetre,Burning time 15 to 18 hours 6 cm 6 6 cm cm
48,52233,https://m.media-amazon.com/images/I/610GTfdbRUL.jpg,752266,height,285.0 millimetre,285.0,millimetre,PANEL MOD.ROMA DOWNLIGHT REDONDO 25W EMPOTRABLE Potencia: 251 Material: Aluminio/PC Indice IP: IP25 Medidas instalacion: 285mm CRI: 80 Medidas producto: 300mm H18.8mm Lumen: 1600Lm Voltaje: 220-240V 50/60Hz Dimable: NO Angulo apertura de la luz: 1209 Factor Potencia:0.9 Temperatura luz disponibles en: Referencia: Temp: Luz: 010193 3000K 010209 4000k 010216 6000k
50,55353,https://m.media-amazon.com/images/I/61++BPRRoKL.jpg,416664,height,35.0 centimetre,35.0,centimetre,2 Bulbs Included MAX S0W 0-100% Dimmable 1 3 Wareaty S 7 ( LUCKY 3 5: 1 [ A SCEMT 9inch - -1Scm Scm 5.9inch
52,57604,https://m.media-amazon.com/images/I/61Adsln+8ML.jpg,483370,height,9.84 inch,9.84,inch,110g 110g 75g 9.84in 8.66in 11.8in 11.8in 20in 9.84in 70g 70g 3.93in 12.99in 11.8in 5.9in 7.87in 9.84in 9.84in
54,60162,https://m.media-amazon.com/images/I/51CI75E+7QL.jpg,810266,height,112.0 millimetre,112.0,millimetre,Size Details D: 100mm Inner Diam: 95mm OAKS ANIUM 750ml H: 112mm POT-750 100g
56,60320,https://m.media-amazon.com/images/I/51acIVkQNwL.jpg,752266,height,1240.0 millimetre,1240.0,millimetre,4.72 inch '120 mm_ E26 MAX 10.04inch (255mm) x4 41.34 inch (1050mm) Adjustable Cord 110V-240V 48.82 nch (1240 mm) 60W MAX 5.91 inch (150mm) DIMMER COMPATIBLE 3.93 inch (100 mm)
58,61583,https://m.media-amazon.com/images/I/61+JAzwXC6L.jpg,916768,height,7.3 inch,7.3,inch,14.5cm 5.7in 14.5cm / 5.7in 14.5cm 5.Tin 1 g 1 1 1OOOML 1ZO0ML 2400ML
60,62339,https://m.media-amazon.com/images/I/616-DnoQGxL.jpg,416664,height,1.0 metre,1.0,metre,"SUD X7 0 Sunuviea Nal 0 1 84 4 W{ YAOBLUESEA XOO DMMND9 YAOBLUESEA 180W Nage..ste und 3 Nagelfeilen New Colour white Producer:Yiwu Zhuoying Cosmetics Co Lid_ Stn No 1121, Yongjun Road Houzhai Yiwu Zhejiang Province Tel: 86 0579-85163043 C€ Importer Ec Consulting Sp.2 0 in china Ec REP Os Przemyslowe 69-100 8 Slubice poland TEL ; (+48) 536 156 765 Email :   contac @ecconsulting pl Lzme sud""r Floor; Street; City; Made"
