,id,image_link,group_id,entity_name,entity_value,numeric_value,unit,ocr_text
0,7195,https://m.media-amazon.com/images/I/61EfeeDuW2L.jpg,866516,height,1.18 inch,1.18,inch,"Product Details 1 Green Aventurine 0.94"" Net Weight:21g"
1,9111,https://m.media-amazon.com/images/I/51ha83oAyyL.jpg,997176,height,6.5 inch,6.5,inch,6 [ 0 4.33inch 4.33inch 3.07inch Before After Name Foldable Electric Kettle Voltage 220v S0Hz Weight 762g Power 600w Colour Elegant white Capacity : 0.5L
2,11382,https://m.media-amazon.com/images/I/51nLJuNpbaL.jpg,120219,height,9.2 inch,9.2,inch,3.9 inch 10 cm Weight: 0.85 lb / 385 g 9.2 inch 23.5 cm ) 7.2 inch 18.5 cm ) 4.9 inch 12.5 cm
3,12152,https://m.media-amazon.com/images/I/619CywH4-NL.jpg,860821,height,34.5 inch,34.5,inch,"18.0"" Air Volume: 1500CFM/13OOCFM/11OOCFM Adjustable Wind Speed: 3 Levels Power: 120V, 60HZ 34.5""-48.5"" Power: 45W Wire Length: 71"" 14.5"""
4,23925,https://m.media-amazon.com/images/I/617N1N9OTuL.jpg,681445,height,11.82 inch,11.82,inch,"RESIN GOLD TALL VASE FOR DECOR This floor-standing vase is solid, weighty, and textured; with a delicate surface; waterproof;, and luxurious: 6.69 IN 35.50 IN 11.82 IN Weighs: 10.8 Ibs"
5,25225,https://m.media-amazon.com/images/I/61F-k8ncI8L.jpg,751532,height,17.7 inch,17.7,inch,"QUEEN SIZE WEIGHIT CAPACITY:9OOLBS 17.7 15.0"" 10.0 6.0"" LX W X HI : 80.1"" X 61.6"" X 1C.O"" 61.6' 77////7 9OOLBS 80.1' 61.6"
6,27938,https://m.media-amazon.com/images/I/612ihJPcgAL.jpg,550840,height,8.0 inch,8.0,inch,MESSAGE NOTIFICATION 771 ~iBujop nok aie MOY Kued e p1oy 01 8ujo? ( Jwe| ~OC60 3xnt 3IVSSJW
7,31289,https://m.media-amazon.com/images/I/614QRFDwr9L.jpg,442321,height,27.9 inch,27.9,inch,Change Your Sedentary Life-Style For the perfect ergonomic position: 23. 39.37in IOOcm 27.9-46.4in 71-118cm KG Weight Capacity Ultra Quiet Height Range Lift Speed 176lbs/80kg <SOdB 27.9-46.4in/71-118cm 7 in/s 25mm/s 6Ocm bin
8,32165,https://m.media-amazon.com/images/I/51RdadsIZXL.jpg,226504,height,5.1 inch,5.1,inch,5.1 in AXE EXCITE deodoraNT Body SPRAY ALL-DAY FRESH NET WT 402 (113g) 1.9 in
9,34101,https://m.media-amazon.com/images/I/61FpO4QRorL.jpg,462757,height,42.0 inch,42.0,inch,Specification 27in Sin[ 52in 42in Sin][ 49in 27in Speed: 1.0 12.0 KM/H Peak Motor Power: 2.25HP Max User Weight: 100 KG Control Method: Remote Control Runway Size: 40 inch x 16 inch Item Weight: 35 KG [nUj I SPKRNCS SPARNZD
